NoCiv,NoCivSuf,Nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal
1308,,Rue de Grande-Bretagne,Rue,de,Grande-Bretagne,1308 RUE DE GRANDE-BRETAGNE,
428,,Rue Andrassy,Rue,,Andrassy,428 RUE ANDRASSY,
1800,,Avenue Saint-Jean,Avenue,,Saint-Jean,1800 AV ST-JEAN,
1836,,Montée du Domaine,Montée,du,Domaine,1836 MTEE DU DOMAINE,
2710,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus,2710 CROISSANT DES GEAIS-BLEUS,
2965,,Rue Demers,Rue,,Demers,2965 RUE DEMERS,
2315,,Rue de Versailles,Rue,de,Versailles,2315 RUE DE VERSAILLES,
2065,,Rue Brady,Rue,,Brady,2065 RUE BRADY,
2667,,Chemin Gascon,Chemin,,Gascon,2667 CH GASCON,
1371,,Rue Barott,Rue,,Barott,1371 RUE BAROTT,
3356,,Rue Saint-Laurent,Rue,,Saint-Laurent,3356 RUE ST-LAURENT,
2921,,Rue de Calais,Rue,de,Calais,2921 RUE DE CALAIS,
950,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde,950 CH DE LA CABANE-RONDE,
2250,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2250 CH STE-MARIE,
3359,,Rue de Vanier,Rue,de,Vanier,3359 RUE DE VANIER,
271,,Rue Martel,Rue,,Martel,271 RUE MARTEL,
2360,,Avenue de Maussac,Avenue,de,Maussac,2360 AV DE MAUSSAC,
1141,,Avenue de la Grande-Allée,Avenue,de la,Grande-Allée,1141 AV DE LA GRANDE-ALLEE,
2108,,Avenue de la Gare,Avenue,de la,Gare,2108 AV DE LA GARE,
2579,,Rue Cantin,Rue,,Cantin,2579 RUE CANTIN,
1491,,Croissant Nelligan,Croissant,,Nelligan,1491 CROISSANT NELLIGAN,
653,,Rue de Pompadour,Rue,de,Pompadour,653 RUE DE POMPADOUR,
2600,,Rue Lafontaine,Rue,,Lafontaine,2600 RUE LAFONTAINE,
456,,Rue Andrassy,Rue,,Andrassy,456 RUE ANDRASSY,
309,,Place des Pluviers,Place,des,Pluviers,309 PLACE DES PLUVIERS,
1425,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,1425 CH STE-MARIE,
1020,,Rue Barott,Rue,,Barott,1020 RUE BAROTT,
469,,Rue Private,Rue,,Private,469 RUE PRIVATE,
2993,,Rue Patenaude,Rue,,Patenaude,2993 RUE PATENAUDE,
