NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
2413,,Rue de Montbéliard,Rue,de,Montbéliard
2592,,Rue Lafontaine,Rue,,Lafontaine
2138,,Rue Comtois,Rue,,Comtois
2639,,Avenue Therrien,Avenue,,Therrien
937,,Rue des Fontaines,Rue,des,Fontaines
171,,Montée Masson,Montée,,Masson
1414,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire
2449,,Rue de Limoges,Rue,de,Limoges
504,,Rue de Bourgogne,Rue,de,Bourgogne
947,,Avenue Saint-Luc,Avenue,,Saint-Luc
290,,Montée Masson,Montée,,Masson
3001,,Rue Jeannotte,Rue,,Jeannotte
2970,,Avenue de la Gare,Avenue,de la,Gare
180,,Montée Masson,Montée,,Masson
2148,,Rue de Fontainebleau,Rue,de,Fontainebleau
2100,,Rue de Fontainebleau,Rue,de,Fontainebleau
399,,Chemin Pincourt,Chemin,,Pincourt
1361,,Rue du Danemark,Rue,du,Danemark
2570,,Place Voltaire,Place,,Voltaire
550,,Rue de Pompadour,Rue,de,Pompadour
2494,,Rue Allard,Rue,,Allard
517,,Avenue Crépeau,Avenue,,Crépeau
3048,,Boulevard de Mascouche,Boulevard,de,Mascouche
2415,,Rue Allard,Rue,,Allard
434,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel
1364,,Avenue de la Gare,Avenue,de la,Gare
971,,Rue des Épinettes,Rue,des,Épinettes
1459,,Chemin des Anglais,Chemin,des,Anglais
1039,,Rue des Cèdres,Rue,des,Cèdres
1705,,Avenue de la Gare,Avenue,de la,Gare
755,,Rue Mercier,Rue,,Mercier
1094,,Place Mauriac,Place,,Mauriac
1257,A,Rue Robincrest,Rue,,Robincrest
480,,Rue Deslongchamps,Rue,,Deslongchamps
1372,,Rue de Rouen,Rue,de,Rouen
710,,Rue Alexander,Rue,,Alexander
95,,Rue Sunset,Rue,,Sunset
1243,,Rue de Norvège,Rue,de,Norvège
2514,,Rue du Mans,Rue,du,Mans
290,,Place Christie,Place,,Christie
905,,Rue des Pins,Rue,des,Pins
3069,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
2660,,Rue Landry,Rue,,Landry
2717,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1455,,Croissant Nelligan,Croissant,,Nelligan
2791,,Croissant des Roitelets,Croissant,des,Roitelets
366,,Rue des Busards,Rue,des,Busards
1088,,Avenue Dupuis,Avenue,,Dupuis
423,,Rue des Parterres,Rue,des,Parterres
1446,,Avenue Louise,Avenue,,Louise
245,,Place de Châtel,Place,de,Châtel
571,,Rue de Pompadour,Rue,de,Pompadour
2452,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
2274,,Chemin Saint-Henri,Chemin,,Saint-Henri
65,,Montée Masson,Montée,,Masson
370,,Rue Sicard,Rue,,Sicard
2080,,Place des Vents,Place,des,Vents
711,,Avenue de l'Étang,Avenue,de l',Étang
2615,,Rue de Montpellier,Rue,de,Montpellier
2525,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1049,,Rue Longpré,Rue,,Longpré
2483,,Rue de Limoges,Rue,de,Limoges
2759,,Place Simonne-Monet-Chartrand,Place,,Simonne-Monet-Chartrand
3518,,Rue de Jean-Talon,Rue,de,Jean-Talon
706,,Rue Mercier,Rue,,Mercier
535,,Rue de Pompéi,Rue,de,Pompéi
2904,,Rue Dupras,Rue,,Dupras
2870,,Avenue Bourque,Avenue,,Bourque
1732,,Rue Maple,Rue,,Maple
604,,Avenue de l'Envolée,Avenue,de l',Envolée
2271,,Rue Barott,Rue,,Barott
3053,,Rue Godbout,Rue,,Godbout
2878,,Croissant des Orioles,Croissant,des,Orioles
554,,Rue Deslongchamps,Rue,,Deslongchamps
2736,,Avenue de la Gare,Avenue,de la,Gare
1300,,Rue Monette,Rue,,Monette
2810,,Rue de Châteauroux,Rue,de,Châteauroux
206,B,Chemin Pincourt,Chemin,,Pincourt
611,,Rue Brien,Rue,,Brien
2372,,Rue de Limoges,Rue,de,Limoges
2907,,Rue Rostand,Rue,,Rostand
573,,Rue du Grand-Héron,Rue,du,Grand-Héron
2642,,Rue des Fontaines,Rue,des,Fontaines
1360,,Rue d'Albanie,Rue,d',Albanie
1923,,Montée du Domaine,Montée,du,Domaine
925,,Rue des Fontaines,Rue,des,Fontaines
1346,,Rue d'Orléans,Rue,d',Orléans
1376,,Rue d'Albanie,Rue,d',Albanie
1367,,Rue Lauzon,Rue,,Lauzon
3365,,Rue de Papineau,Rue,de,Papineau
2860,,Place des Sizerins,Place,des,Sizerins
1280,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
1415,A,Croissant Nelligan,Croissant,,Nelligan
1259,,Avenue de Chambéry,Avenue,de,Chambéry
1000,,Rue des Pins,Rue,des,Pins
1087,,Rue Lamartine,Rue,,Lamartine
1402,,Rue Pine,Rue,,Pine
393,,Rue de Margaux,Rue,de,Margaux
1399,,Avenue Louise,Avenue,,Louise
2339,,Avenue de la Gare,Avenue,de la,Gare
477,,Rue du Dorset,Rue,du,Dorset
2832,,Rue Alexandre-Dumas,Rue,,Alexandre-Dumas
2649,,Rue Baudelaire,Rue,,Baudelaire
755,,Rue des Cascades,Rue,des,Cascades
2475,,Rue de Carnac,Rue,de,Carnac
2381,,Rue de Toulon,Rue,de,Toulon
1295,,Rue des Plantes,Rue,des,Plantes
684,,Rue de Pompadour,Rue,de,Pompadour
3356,,Avenue de Charlevoix,Avenue,de,Charlevoix
2091,,Rue de Toulon,Rue,de,Toulon
1587,,Avenue Rawlinson,Avenue,,Rawlinson
3019,,Rue Morrisseau,Rue,,Morrisseau
2844,,Rue des Mésanges,Rue,des,Mésanges
2586,,Rue de Saint-Étienne,Rue,de,Saint-Étienne
545,,Rue du Dorset,Rue,du,Dorset
2849,,Rue Desportes,Rue,,Desportes
275,,Avenue de l'Étang,Avenue,de l',Étang
242,,Avenue Crépeau,Avenue,,Crépeau
2664,,Rue des Faucons,Rue,des,Faucons
642,,Rue des Éperviers,Rue,des,Éperviers
456,,Croissant du Trianon,Croissant,du,Trianon
465,,Rue de Margaux,Rue,de,Margaux
538,,Place de Ségur,Place,de,Ségur
1905,,Rue Lavallée,Rue,,Lavallée
120,,Rue André-Le Nôtre,Rue,,André-Le Nôtre
2619,,Rue du Mans,Rue,du,Mans
710,8,Rue de Montmartre,Rue,de,Montmartre
1261,,Avenue de la Grande-Allée,Avenue,de la,Grande-Allée
2242,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1100,,Rue des Orchidées,Rue,des,Orchidées
1441,,Croissant Lemelin,Croissant,,Lemelin
1825,,Rue Comtois,Rue,,Comtois
3403,,Rue de Vanier,Rue,de,Vanier
1587,,Avenue Saint-Jean,Avenue,,Saint-Jean
2082,,Rue Laprade,Rue,,Laprade
1357,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
1271,,Rue Moorecrest,Rue,,Moorecrest
361,,Place des Pluviers,Place,des,Pluviers
1265,,Place de l'Alizé,Place,de l',Alizé
1348,,Rue Bérard,Rue,,Bérard
3018,,Rue de l'Acadie,Rue,de l',Acadie
3047,,Avenue Laurier,Avenue,,Laurier
1192,,Avenue Louise,Avenue,,Louise
2923,,Rue Demers,Rue,,Demers
388,,Rue Terry-Fox,Rue,,Terry-Fox
140,,Rue des Parterres,Rue,des,Parterres
1389,,Boulevard Raymond,Boulevard,,Raymond
1542,,Rue Grignon,Rue,,Grignon
1662,,Rue Ellis,Rue,,Ellis
2803,,Rue Gouin,Rue,,Gouin
2753,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
381,,Rue des Parterres,Rue,des,Parterres
1500,,Place de l'Aquilon,Place,de l',Aquilon
1152,,Rue de Charlesbourg,Rue,de,Charlesbourg
1895,,Rue Lamoureux,Rue,,Lamoureux
696,,Croissant du Grand-Duc,Croissant,du,Grand-Duc
241,,Rue de Boissy,Rue,de,Boissy
2300,,Rue de Fontainebleau,Rue,de,Fontainebleau
363,,Place de Villandry,Place,de,Villandry
1249,,Rue d'Algérie,Rue,d',Algérie
1003,,Rue des Gros-Arbres,Rue,des,Gros-Arbres
180,,Rue Park Row,Rue,,Park Row
240,,Place de Châtel,Place,de,Châtel
1465,,Boulevard Raymond,Boulevard,,Raymond
365,,Rue Robinson,Rue,,Robinson
935,,Avenue Saint-Luc,Avenue,,Saint-Luc
2774,,Avenue de la Gare,Avenue,de la,Gare
2457,,Rue de Limoges,Rue,de,Limoges
3025,,Rue Demers,Rue,,Demers
463,,Place des Pluviers,Place,des,Pluviers
2894,,Avenue de la Gare,Avenue,de la,Gare
2980,,Rue Lesage,Rue,,Lesage
3107,,Rue Lévesque,Rue,,Lévesque
2126,,Chemin Saint-Henri,Chemin,,Saint-Henri
290,,Place de Châtel,Place,de,Châtel
358,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel
2065,,Rue Bergeron,Rue,,Bergeron
3054,A,Avenue Louvain,Avenue,,Louvain
2066,,6e Avenue,Avenue,,6e
1174,,Avenue Lafleur,Avenue,,Lafleur
245,,Rue Bohémier,Rue,,Bohémier
10,,Montée Masson,Montée,,Masson
2778,,Croissant des Roitelets,Croissant,des,Roitelets
1923,,Rue de Brompton,Rue,de,Brompton
1454,,Boulevard Raymond,Boulevard,,Raymond
414,,Rue du Dorset,Rue,du,Dorset
2611,,Rue de Clermont,Rue,de,Clermont
525,,Rue Brochu,Rue,,Brochu
2442,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
965,,Rue des Sapins,Rue,des,Sapins
693,,Rue Turenne,Rue,,Turenne
1331,,Rue Barott,Rue,,Barott
340,,Montée Masson,Montée,,Masson
2213,,Avenue de la Gare,Avenue,de la,Gare
400,,Rue des Parterres,Rue,des,Parterres
530,,Rue du Grand-Héron,Rue,du,Grand-Héron
1253,,Chemin Pincourt,Chemin,,Pincourt
1092,,Rue de Charlesbourg,Rue,de,Charlesbourg
820,,Rue Bombardier,Rue,,Bombardier
327,,Chemin des Anglais,Chemin,des,Anglais
208,,Chemin des Anglais,Chemin,des,Anglais
1768,,Avenue Saint-Jean,Avenue,,Saint-Jean
751,,Avenue de l'Étang,Avenue,de l',Étang
125,,Rue de Galles,Rue,de,Galles
3042,,Rue Gauthier,Rue,,Gauthier
941,,Rue Sauvé,Rue,,Sauvé
1000,,Montée Masson,Montée,,Masson
3022,,Chemin Saint-Pierre,Chemin,,Saint-Pierre
2594,,Rue de Limoges,Rue,de,Limoges
2812,,Rue de Chartres,Rue,de,Chartres
657,,Rue Brien,Rue,,Brien
2109,,Rue Brady,Rue,,Brady
2625,,Croissant Guay,Croissant,,Guay
1107,,Avenue Lafleur,Avenue,,Lafleur
2742,,Avenue de la Gare,Avenue,de la,Gare
1361,,Rue Pine,Rue,,Pine
2320,,Rue de Versailles,Rue,de,Versailles
583,,Rue Brien,Rue,,Brien
3017,,Rue Jeannotte,Rue,,Jeannotte
342,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel
3039,,Avenue Bourque,Avenue,,Bourque
814,,Avenue de la Grande-Allée,Avenue,de la,Grande-Allée
2780,,Chemin Saint-Philippe,Chemin,,Saint-Philippe
1280,,Rue du Havre,Rue,du,Havre
2879,,Rue Demers,Rue,,Demers
1269,,Rue Robincrest,Rue,,Robincrest
2499,,Rue de Limoges,Rue,de,Limoges
1210,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
1446,,Rue de Cherbourg,Rue,de,Cherbourg
585,,Rue des Martins-Pêcheurs,Rue,des,Martins-Pêcheurs
1586,,Rue Henderson,Rue,,Henderson
927,,Croissant Georges-Delfosse,Croissant,,Georges-Delfosse
375,,Rue Dalpé,Rue,,Dalpé
2520,,Rue de Toulouse,Rue,de,Toulouse
2875,,Rue Demers,Rue,,Demers
2573,,Rue de Limoges,Rue,de,Limoges
1239,,Rue Paquette,Rue,,Paquette
492,,Rue des Martins-Pêcheurs,Rue,des,Martins-Pêcheurs
1080,,Rue de Lorient,Rue,de,Lorient
1095,,Avenue Dupuis,Avenue,,Dupuis
1205,,Rue d'Auvergne,Rue,d',Auvergne
710,,Avenue de l'Étang,Avenue,de l',Étang
1053,,Montée Masson,Montée,,Masson
1052,,Rue de Charlesbourg,Rue,de,Charlesbourg
1101,,Montée Masson,Montée,,Masson
2659,,Rue de Montpellier,Rue,de,Montpellier
656,,Avenue Crépeau,Avenue,,Crépeau
1619,,Avenue de la Gare,Avenue,de la,Gare
322,,Avenue de l'Étang,Avenue,de l',Étang
547,,Avenue de l'Étang,Avenue,de l',Étang
1977,,Rue de Brompton,Rue,de,Brompton
383,,Place du Louvre,Place,du,Louvre
2803,,Rue Principale,Rue,,Principale
775,,Rue Sicard,Rue,,Sicard
2793,,Rue des Futaies,Rue,des,Futaies
1505,,Rue du Panama,Rue,du,Panama
3358,,Rue Montcalm,Rue,,Montcalm
2924,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde
1316,,Avenue de la Gare,Avenue,de la,Gare
2190,,Rue Bergeron,Rue,,Bergeron
2780,,Rue Gouin,Rue,,Gouin
2748,,Rue de Bordeaux,Rue,de,Bordeaux
429,,Place des Pluviers,Place,des,Pluviers
2120,,Rue Bergeron,Rue,,Bergeron
52,,Avenue Napoléon,Avenue,,Napoléon
755,,Rue des Érables,Rue,des,Érables
390,,Place du Calvados,Place,du,Calvados
1167,,Rue Saint-Andrews,Rue,,Saint-Andrews
2257,,Avenue du Noroît,Avenue,du,Noroît
477,,Rue Pronovost,Rue,,Pronovost
2634,,Croissant Guay,Croissant,,Guay
1332,,Rue Bérard,Rue,,Bérard
2956,,Avenue de la Gare,Avenue,de la,Gare
750,,Rue Brien,Rue,,Brien
1313,,Croissant Louise,Croissant,,Louise
1386,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
1625,,Avenue de la Gare,Avenue,de la,Gare
976,,Chemin Pincourt,Chemin,,Pincourt
178,,Rue de Boissy,Rue,de,Boissy
1300,,Rue de Brest,Rue,de,Brest
1418,,Rue de Cherbourg,Rue,de,Cherbourg
2648,,Rue Baudelaire,Rue,,Baudelaire
322,,Rue Robinson,Rue,,Robinson
2932,,Avenue de la Gare,Avenue,de la,Gare
3354,,Chemin Saint-Philippe,Chemin,,Saint-Philippe
1131,,Avenue de Normandie,Avenue,de,Normandie
1390,,Rue Poirier,Rue,,Poirier
996,,Place Colville,Place,,Colville
705,,Avenue de l'Envolée,Avenue,de l',Envolée
1328,,Avenue de la Gare,Avenue,de la,Gare
643,,Place du Grand-Héron,Place,du,Grand-Héron
2230,,Rue Barott,Rue,,Barott
2292,,Rue de Versailles,Rue,de,Versailles
2980,,Avenue de la Gare,Avenue,de la,Gare
285,,Avenue de l'Étang,Avenue,de l',Étang
3800,,Chemin Saint-Henri,Chemin,,Saint-Henri
3108,,Rue Lévesque,Rue,,Lévesque
1579,,Avenue Rawlinson,Avenue,,Rawlinson
1432,,Rue de l'Oiselet,Rue,de l',Oiselet
97,,Chemin des Anglais,Chemin,des,Anglais
2763,,Rue des Futaies,Rue,des,Futaies
702,,Rue des Pyrénées,Rue,des,Pyrénées
1444,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
1087,A,Montée Masson,Montée,,Masson
651,,Place du Grand-Héron,Place,du,Grand-Héron
2110,,Avenue de la Gare,Avenue,de la,Gare
2385,,Rue de Bayonne,Rue,de,Bayonne
2033,,Rue Murray Bay,Rue,,Murray Bay
2399,,Rue de Chenonceau,Rue,de,Chenonceau
1081,,Rue de l'Amour,Rue,de l',Amour
2409,,Avenue de la Gare,Avenue,de la,Gare
1653,,Rue Pine,Rue,,Pine
2868,,Rue Alexandre-Dumas,Rue,,Alexandre-Dumas
2353,,Avenue de Maussac,Avenue,de,Maussac
3027,,Rue Patenaude,Rue,,Patenaude
1388,,Rue du Panama,Rue,du,Panama
1369,,Rue du Danemark,Rue,du,Danemark
1033,,Rue de l'Amour,Rue,de l',Amour
1406,,Avenue Louise,Avenue,,Louise
3040,,Rue Patenaude,Rue,,Patenaude
2796,,Rue de Chartres,Rue,de,Chartres
309,,Croissant de Bourguignon,Croissant,de,Bourguignon
1310,,Rue des Fontaines,Rue,des,Fontaines
2297,,Rue La Vérendrye,Rue,,La Vérendrye
1324,,Avenue Lafleur,Avenue,,Lafleur
1177,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1073,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
2328,,Rue de Chaumont,Rue,de,Chaumont
1515,,Rue de l'Albatros,Rue,de l',Albatros
738,,Place de la Brise,Place,de la,Brise
1809,,Avenue de la Gare,Avenue,de la,Gare
1502,,Rue du Panama,Rue,du,Panama
2441,,Croissant d'Auteuil,Croissant,d',Auteuil
2281,,Rue Barott,Rue,,Barott
2717,,Rue Cantin,Rue,,Cantin
2321,,Rue de Toulon,Rue,de,Toulon
799,,Rue des Jonquilles,Rue,des,Jonquilles
1708,,Montée du Domaine,Montée,du,Domaine
491,,Place du Martinet,Place,du,Martinet
1069,,Avenue de Normandie,Avenue,de,Normandie
474,,Rue Private,Rue,,Private
2184,,Rue Chris-Ada,Rue,,Chris-Ada
2929,,Rue Gouin,Rue,,Gouin
1466,,Boulevard Raymond,Boulevard,,Raymond
1065,,Place Mauriac,Place,,Mauriac
2660,,Rue Principale,Rue,,Principale
326,,Avenue de l'Étang,Avenue,de l',Étang
3252,,Rue Marconi,Rue,,Marconi
1100,,Avenue Garden,Avenue,,Garden
2376,,Avenue de Maussac,Avenue,de,Maussac
830,,Rue Bombardier,Rue,,Bombardier
772,,Montée Masson,Montée,,Masson
2958,,Avenue de la Gare,Avenue,de la,Gare
1599,,Avenue Garden,Avenue,,Garden
1117,,Place Mauriac,Place,,Mauriac
2763,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1309,,Rue de la Verdure,Rue,de la,Verdure
127,,Montée Masson,Montée,,Masson
698,,Rue des Érables,Rue,des,Érables
1504,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
451,,Rue des Parterres,Rue,des,Parterres
2373,,Avenue de la Gare,Avenue,de la,Gare
2757,,Rue De Vigny,Rue,,De Vigny
506,,Rue Trudeau,Rue,,Trudeau
2567,,Rue des Faucons,Rue,des,Faucons
1251,,Rue de Grande-Bretagne,Rue,de,Grande-Bretagne
2588,,Rue De Vigny,Rue,,De Vigny
683,,Rue Turenne,Rue,,Turenne
624,,Rue de Montmartre,Rue,de,Montmartre
2732,,Avenue de la Gare,Avenue,de la,Gare
1290,,Avenue Garden,Avenue,,Garden
627,,Place du Grand-Héron,Place,du,Grand-Héron
361,,Rue Robinson,Rue,,Robinson
2659,,Rue du Verger,Rue,du,Verger
1012,,Rue Amicale,Rue,,Amicale
2574,,Avenue de la Gare,Avenue,de la,Gare
2792,,Rue Gouin,Rue,,Gouin
1879,,Rue Station,Rue,,Station
2731,,Rue De Vigny,Rue,,De Vigny
728,,Rue Duhamel,Rue,,Duhamel
2696,,Croissant des Grives,Croissant,des,Grives
263,,Rue Walsh,Rue,,Walsh
880,,Rue des Saules,Rue,des,Saules
2690,,Rue de Montpellier,Rue,de,Montpellier
1454,,Avenue Mathieu,Avenue,,Mathieu
2266,,Rue Bélanger,Rue,,Bélanger
659,,Croissant Taschereau,Croissant,,Taschereau
1388,,Rue Moorecrest,Rue,,Moorecrest
2001,,Rue Barott,Rue,,Barott
2923,,Rue Rostand,Rue,,Rostand
15,,Avenue de l'Étang,Avenue,de l',Étang
2409,,Croissant François-Villon,Croissant,,François-Villon
2152,,Rue Brady,Rue,,Brady
1487,,Rue Boissonneault,Rue,,Boissonneault
2750,,Place Simonne-Monet-Chartrand,Place,,Simonne-Monet-Chartrand
1228,,Rue Paquette,Rue,,Paquette
340,,Rue Jordan,Rue,,Jordan
694,,Avenue de l'Étang,Avenue,de l',Étang
1460,,Croissant Lemelin,Croissant,,Lemelin
1366,,Rue de Valence,Rue,de,Valence
249,,Rue du Dorset,Rue,du,Dorset
2884,,Chemin Saint-Philippe,Chemin,,Saint-Philippe
1160,,Rue d'Auvergne,Rue,d',Auvergne
2354,,Rue de Montbéliard,Rue,de,Montbéliard
508,,Rue de Champagne,Rue,de,Champagne
2811,,Croissant des Roitelets,Croissant,des,Roitelets
1839,,Avenue de la Gare,Avenue,de la,Gare
2490,,Avenue de Maussac,Avenue,de,Maussac
677,,Rue des Érables,Rue,des,Érables
2913,,Rue Gouin,Rue,,Gouin
614,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel
3389,,Rue de Richelieu,Rue,de,Richelieu
348,,Rue Pangman,Rue,,Pangman
273,,Avenue Crépeau,Avenue,,Crépeau
716,,Croissant du Grand-Duc,Croissant,du,Grand-Duc
2602,,Rue Cantin,Rue,,Cantin
2468,,Rue de Limoges,Rue,de,Limoges
1302,,Avenue Garden,Avenue,,Garden
3352,,Rue Saint-Laurent,Rue,,Saint-Laurent
971,,Rue de l'Amour,Rue,de l',Amour
2558,,Rue de Saint-Étienne,Rue,de,Saint-Étienne
630,,Rue Duhamel,Rue,,Duhamel
1813,,Rue Cedar,Rue,,Cedar
1323,,Rue d'Orléans,Rue,d',Orléans
448,,Rue Marchand,Rue,,Marchand
2602,,Avenue de Maussac,Avenue,de,Maussac
525,,Rue Terry-Fox,Rue,,Terry-Fox
1595,,Rue Joy,Rue,,Joy
3331,,Rue De Musset,Rue,,De Musset
298,,Rue de Margaux,Rue,de,Margaux
2821,,Avenue Marie-Victorin,Avenue,,Marie-Victorin
2702,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
1413,,Avenue Louise,Avenue,,Louise
2834,,Rue des Buses,Rue,des,Buses
1342,,Rue Boissonneault,Rue,,Boissonneault
2425,,Croissant d'Auteuil,Croissant,d',Auteuil
2515,,Rue des Fontaines,Rue,des,Fontaines
1000,,Place du Vert,Place,du,Vert
1122,,Avenue Louise,Avenue,,Louise
2417,,Rue de Bayonne,Rue,de,Bayonne
2508,,Rue de Carnac,Rue,de,Carnac
915,,Rue des Fontaines,Rue,des,Fontaines
3415,,Rue de Viau,Rue,de,Viau
2700,,Rue des Faucons,Rue,des,Faucons
1955,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges
443,,Avenue de l'Étang,Avenue,de l',Étang
750,,Place de la Brise,Place,de la,Brise
2100,,9e Avenue,Avenue,,9e
325,,Place de Cheverny,Place,de,Cheverny
2952,,Avenue de la Gare,Avenue,de la,Gare
394,,Rue Caron,Rue,,Caron
1241,,Rue Robincrest,Rue,,Robincrest
1313,,Rue des Plantes,Rue,des,Plantes
2115,,Avenue Pierre,Avenue,,Pierre
2257,,Rue de Fontainebleau,Rue,de,Fontainebleau
2673,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
495,,Rue des Martins-Pêcheurs,Rue,des,Martins-Pêcheurs
991,,Place du Vert,Place,du,Vert
1160,,Avenue Dupuis,Avenue,,Dupuis
2653,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
2245,,Rue de Fontainebleau,Rue,de,Fontainebleau
1326,,Rue Circle,Rue,,Circle
2410,,Avenue du Noroît,Avenue,du,Noroît
2910,,Avenue des Ancêtres,Avenue,des,Ancêtres
2455,,Avenue de la Gare,Avenue,de la,Gare
2808,,Rue Françoise-Giroud,Rue,,Françoise-Giroud
2777,,Rue des Chardonnerets,Rue,des,Chardonnerets
1380,,Chemin Saint-Henri,Chemin,,Saint-Henri
2609,,Rue Cantin,Rue,,Cantin
141,,Rue Martel,Rue,,Martel
2934,,Avenue des Ancêtres,Avenue,des,Ancêtres
166,,Montée Masson,Montée,,Masson
2559,,Rue de Saint-Étienne,Rue,de,Saint-Étienne
2301,,Rue La Vérendrye,Rue,,La Vérendrye
3381,,Rue de Papineau,Rue,de,Papineau
931,,Avenue De Maupassant,Avenue,,De Maupassant
2211,,Boulevard de Mascouche,Boulevard,de,Mascouche
3349,,Avenue de Charlevoix,Avenue,de,Charlevoix
2827,,Croissant des Grives,Croissant,des,Grives
1045,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
2240,,Rue d'Amboise,Rue,d',Amboise
2963,,Avenue Bourque,Avenue,,Bourque
501,,Chemin Pincourt,Chemin,,Pincourt
576,,Rue des Érables,Rue,des,Érables
3041,,Avenue Charron,Avenue,,Charron
2223,,Rue de Davignac,Rue,de,Davignac
3212,,Chemin Saint-Philippe,Chemin,,Saint-Philippe
2117,,Chemin du Lac,Chemin,du,Lac
1624,,Rue Lauzon,Rue,,Lauzon
1220,,Rue Circle,Rue,,Circle
1381,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges
773,,Rue Brien,Rue,,Brien
1988,,Avenue de la Gare,Avenue,de la,Gare
261,,Rue de Boissy,Rue,de,Boissy
2040,,Rue de Toulon,Rue,de,Toulon
3342,,Rue de Richelieu,Rue,de,Richelieu
2296,,Boulevard de Mascouche,Boulevard,de,Mascouche
963,,Rue de Greenwich,Rue,de,Greenwich
1000,,Rue Marguerite-Duras,Rue,,Marguerite-Duras
2828,,Rue Françoise-Giroud,Rue,,Françoise-Giroud
238,,Rue Mactier,Rue,,Mactier
669,,Avenue Crépeau,Avenue,,Crépeau
1443,,Rue du Panama,Rue,du,Panama
420,,Rue Caron,Rue,,Caron
1968,,Rue Chartrand,Rue,,Chartrand
2102,,Avenue de la Gare,Avenue,de la,Gare
285,,Croissant de Castelnaud,Croissant,de,Castelnaud
1465,,Rue Boissonneault,Rue,,Boissonneault
2827,,Rue Desportes,Rue,,Desportes
400,,Montée Masson,Montée,,Masson
2514,,Avenue de Maussac,Avenue,de,Maussac
2231,,Rue Barott,Rue,,Barott
744,,Rue de Montmartre,Rue,de,Montmartre
1931,,Rue Barott,Rue,,Barott
2279,,Avenue de la Gare,Avenue,de la,Gare
2790,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
2887,,Rue Rostand,Rue,,Rostand
2504,,Rue de Bayeux,Rue,de,Bayeux
1070,,Croissant Augusta,Croissant,,Augusta
1384,,Rue Bérard,Rue,,Bérard
2402,,Rue de Versailles,Rue,de,Versailles
449,,Rue Parent,Rue,,Parent
2644,,Rue De Vigny,Rue,,De Vigny
2504,,Rue de Toulouse,Rue,de,Toulouse
1180,,Rue de Charlesbourg,Rue,de,Charlesbourg
470,,Rue Jordan,Rue,,Jordan
2619,,Rue Verlaine,Rue,,Verlaine
2795,,Croissant des Grives,Croissant,des,Grives
2927,,Rue des Mésanges,Rue,des,Mésanges
2860,,Place Jules-Verne,Place,,Jules-Verne
369,,Place des Pluviers,Place,des,Pluviers
3054,,Place Longval,Place,,Longval
373,,Croissant de Bourguignon,Croissant,de,Bourguignon
3024,,Rue Jeannotte,Rue,,Jeannotte
616,,Place des Charmilles,Place,des,Charmilles
1216,,Avenue Mathieu,Avenue,,Mathieu
196,,Chemin Newton,Chemin,,Newton
3457,,Chemin Saint-Pierre,Chemin,,Saint-Pierre
319,,Rue de Margaux,Rue,de,Margaux
363,,Place Sullivan,Place,,Sullivan
1279,,Rue de Norvège,Rue,de,Norvège
1651,,Croissant Fieldcrest,Croissant,,Fieldcrest
1369,,Rue Bérard,Rue,,Bérard
1435,,Croissant Nelligan,Croissant,,Nelligan
1516,,Avenue Rawlinson,Avenue,,Rawlinson
2576,,Rue Daudet,Rue,,Daudet
2614,,Rue des Faucons,Rue,des,Faucons
2321,A,Chemin Sainte-Marie,Chemin,,Sainte-Marie
325,,Place Larose,Place,,Larose
2928,,Avenue Bourque,Avenue,,Bourque
363,,Place des Pluviers,Place,des,Pluviers
138,,Rue d'Argentine,Rue,d',Argentine
2494,,Chemin Saint-Henri,Chemin,,Saint-Henri
2823,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
3042,,Place Bertrand,Place,,Bertrand
2512,,Rue de Toulouse,Rue,de,Toulouse
780,,Place des Taillis,Place,des,Taillis
