NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
1380,,Avenue de Chambéry,Avenue,de,Chambéry
661,,Avenue Crépeau,Avenue,,Crépeau
1160,,Avenue Louise,Avenue,,Louise
2210,,Rue de Davignac,Rue,de,Davignac
1414,,Rue de Cherbourg,Rue,de,Cherbourg
321,,Place des Pluviers,Place,des,Pluviers
304,,Croissant de Castelnaud,Croissant,de,Castelnaud
263,,Place des Pluviers,Place,des,Pluviers
27,,Avenue Napoléon,Avenue,,Napoléon
2680,,Croissant des Grives,Croissant,des,Grives
2700,,Place des Sittelles,Place,des,Sittelles
2766,,Croissant des Roitelets,Croissant,des,Roitelets
2785,,Rue de Bordeaux,Rue,de,Bordeaux
2078,,6e Avenue,Avenue,,6e
915,,Rue des Saules,Rue,des,Saules
1378,,Avenue Louise,Avenue,,Louise
454,,Chemin des Anglais,Chemin,des,Anglais
2820,,Rue Françoise-Giroud,Rue,,Françoise-Giroud
1408,,Rue Pine,Rue,,Pine
1472,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
2449,,Croissant d'Auteuil,Croissant,d',Auteuil
949,,Rue Sauvé,Rue,,Sauvé
2994,,Avenue de la Gare,Avenue,de la,Gare
1013,,Rue Lapointe,Rue,,Lapointe
2830,,Place Félix-Leclerc,Place,,Félix-Leclerc
115,,Croissant de Galles,Croissant,de,Galles
951,,Rue des Glaïeuls,Rue,des,Glaïeuls
399,,Place des Pluviers,Place,des,Pluviers
1443,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire
2933,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
236,,Rue de Boissy,Rue,de,Boissy
2826,,Rue de Sancerre,Rue,de,Sancerre
1299,,Rue du Havre,Rue,du,Havre
1424,,Rue Joy,Rue,,Joy
1688,,Rue Pine Brook,Rue,,Pine Brook
2853,,Avenue Marie-Victorin,Avenue,,Marie-Victorin
560,,Rue de Pompadour,Rue,de,Pompadour
1920,,Rue Comtois,Rue,,Comtois
2075,,Avenue du Suroît,Avenue,du,Suroît
1566,,Rue Pine,Rue,,Pine
405,,Rue Parent,Rue,,Parent
2121,,Rue Comtois,Rue,,Comtois
2109,,Rue de Fontainebleau,Rue,de,Fontainebleau
2687,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
484,,Rue Deslongchamps,Rue,,Deslongchamps
2789,,Rue Dumont,Rue,,Dumont
